Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,2,135,0.8216777,-0.536501,-0.1923863,1,3.727688,False,0.004046086,-0.001748323,0.00923413,0.01023214,0.00977988,-0.02640628,-0.02657032,0.9992503,4.437523,0.2526099,-0.6820623,-0.6862993,0.3146429,0.2739221,0.4085384,0.4273157,384.638,0,0,0.02345836,0.006810742,0.004960425,0.02606915,12.80106,0,0,0.2785753,249.7583,0.04143242,12.8187
1,3,135,0.9474441,-0.1049321,0.3022232,1,4.679664,False,9.233132E-05,-0.00252068,0.001929581,0.003175789,-0.001965357,0.0100795,-0.03418801,0.9993628,4.09129,-0.05505895,0.2823746,-0.9577679,0.5713139,0.4587301,0.4630194,0.7932782,553.0986,0,0,0.03322257,0.01358261,0.02226995,0.03786866,41.11763,0,0,0.3911818,329.3339,0.04764113,17.10091
1,4,135,0.1406549,0.9843898,-0.1057967,1,6.971566,False,0.0003697462,-0.00208354,0.00414446,0.004653429,0.03331958,0.01935927,-0.03681059,0.998579,6.109593,0.6252393,0.3632753,-0.6907479,0.9802142,0.9466389,1.175082,0.9417987,951.3525,0,0,0.04101208,0.01283709,0.01090742,0.05254823,32.59298,0,0,0.6346656,536.4594,0.06323044,24.29674
1,5,135,0.8712705,0.1968243,0.4496085,1,6.902254,False,-0.001850057,-0.002000213,-0.00477913,0.00550124,0.02763189,0.0197821,-0.001270962,0.9994217,3.89746,0.8125867,0.5817434,-0.0373759,0.9210768,0.8165906,0.7737358,1.140656,870.7612,0,0,0.05367978,0.02145239,0.01379457,0.06340591,52.92678,0,0,0.6414512,505.8786,0.079013,29.86999
1,6,135,0.02547411,-0.78272,0.6218524,1,7.749776,False,0.001037586,0.004416883,0.005239069,0.006930606,0.07438403,0.01558024,-0.01908204,-0.9969254,351.0118,0.9493061,0.1988386,-0.2435294,0.7251609,0.7117459,0.6557588,0.9117674,714.5129,0,0,0.1140284,0.106064,0.1122146,1.595793,263.1734,0,0,0.5735267,455.4086,0.1032014,38.53524
1,7,135,-0.1193595,-0.7234302,0.6800015,1,21.53946,False,-0.0001040511,0.0003880858,-0.004542112,0.004559849,-0.03159311,0.04156032,-0.03805381,-0.9979112,352.5921,-0.489047,0.6433348,-0.5890556,2.149859,2.061931,2.457499,2.864407,2225.077,0,0,0.1136166,0.03298706,0.02760095,0.1512078,61.01543,0,0,1.650627,1100.61,0.3152039,93.09088
1,8,135,0.8491808,0.4961801,0.1808237,1,10.95453,False,0.001195665,0.001275182,-0.004530042,0.004855614,-0.01602897,0.0310378,-0.02857365,0.9989812,5.173285,-0.3551703,0.6877363,-0.6331357,1.428404,1.55757,1.681809,1.723621,1671.519,0,0,0.05864173,0.01753021,0.02019331,0.09233916,43.39259,0,0,0.7826406,819.0981,0.1461978,56.83769
1,9,135,0.6209714,-0.4957762,-0.6071248,1,4.847545,False,0.00184897,0.001048505,-0.0003801584,0.002159299,0.0008751247,0.03002057,-0.04674415,0.9984553,6.369997,0.01575096,0.5403262,-0.841326,0.5338761,0.523394,0.6602937,0.4273038,781.3873,0,0,0.02623531,0.009238907,0.009477956,0.03725143,21.20926,0,0,0.4219654,558.1888,0.04555791,17.94565
1,10,135,0.5293203,-0.53872,0.6554394,1,10.49433,False,-0.001049828,-0.00247407,0.002839684,0.003909855,0.05799447,0.0377624,-0.01818367,0.9974368,8.206443,0.8105037,0.5277497,-0.2541264,1.551415,1.28677,1.506242,1.423791,1485.3,0,0,0.05534113,0.01688602,0.0193621,0.0787477,39.78154,0,0,1.092608,827.6423,0.1223039,41.15696
1,11,135,-0.3120215,0.9486264,-0.05244601,1,5.029128,False,0.001060415,-0.001570702,0.007329524,0.007570568,-0.008821852,-0.03058595,-0.02706794,0.9991267,4.789474,-0.2111313,-0.7320063,-0.6478107,0.6452271,0.5737168,0.6737087,0.6695591,601.4633,0,0,0.02230949,0.007112705,0.008465153,0.03951658,23.22719,0,0,0.5157389,315.2447,0.05567547,21.13267
2,2,135,-0.7210309,0.3764191,-0.5817413,0.9999999,10.27677,False,0.002090175,0.002970994,0.00326556,0.00488462,0.08436175,-0.001162262,0.01607556,0.9963049,9.854086,0.9822389,-0.01353243,0.1871706,1.579365,1.491152,1.653675,1.748743,1462.129,0,0,0.1942652,0.2841037,0.3070296,2.553773,417.5561,0,0,0.9439226,668.0062,0.1356504,46.88107
2,3,135,-0.4160321,-0.4042561,-0.8145516,1,8.875106,False,0.001909871,-0.0003706217,-0.000800401,0.002103713,0.02303927,0.06122527,-0.008493064,0.997822,7.564543,0.3492652,0.9281481,-0.1287511,1.016237,0.9900455,1.085493,1.267887,964.4346,0,0,0.09702361,0.0465703,0.03263298,0.09712273,54.06476,0,0,0.7133135,555.3878,0.09324068,35.8391
2,4,135,0.1022775,-0.266629,0.9583571,1,13.10872,False,-0.002829175,-0.002014756,0.00105989,0.003631369,0.0521899,-0.03611521,-0.007195009,0.997958,7.324347,0.8170827,-0.5654181,-0.1126447,1.855748,1.51079,1.764659,1.9447,1595.192,0,0,0.1717965,0.3119337,0.2194434,0.1557893,117.8004,0,0,1.3412,980.3522,0.1522865,55.18824
2,5,135,0.5067933,-0.4555946,0.731843,1,8.333368,False,0.002865177,-0.002857924,0.002395868,0.004702887,0.04246669,0.03139579,0.01755201,0.9984502,6.38056,0.7630718,0.564142,0.3153871,1.094439,1.005696,1.069841,1.364871,788.858,0,0,0.06796995,0.06636436,0.05104623,0.0936242,58.94361,0,0,0.5972334,453.4819,0.09097039,32.72782
2,6,135,0.1670094,0.9857225,0.02142584,1,6.485507,False,0.0007533543,-0.004360437,0.00616771,0.007590889,0.02130135,-0.00437875,-0.05210435,0.9984049,6.473285,0.3772831,-0.07755509,-0.9228564,0.4901302,0.5836618,0.7270578,0.8006223,766.155,0,0,0.0796536,0.04153839,0.02792459,0.09950036,60.12512,0,0,0.5250172,439.8151,0.06880555,30.12273
2,7,135,0.2085126,0.5983937,0.7735939,1,9.290295,False,0.00143576,-0.00117898,-0.0001456141,0.001863493,0.00767644,-0.07318667,-0.04240542,-0.9963869,350.2558,0.09038354,-0.8617107,-0.4992877,1.128754,1.174014,1.307668,1.324826,1572.746,0,0,0.1413411,0.3220115,0.2899104,0.8005525,188.6608,0,0,0.5103481,643.6855,0.1168446,43.82437
2,8,135,0.6116455,-0.1184247,0.7822182,1,10.83233,False,0.005366322,0.000525713,0.008235633,0.009843751,0.04217687,-0.05984269,0.02949116,0.9968803,9.053938,0.5343685,-0.7581891,0.3736443,1.19954,1.350825,1.334915,1.424677,1446.283,0,0,0.1312214,0.4021541,0.3820606,0.1590212,236.0243,0,0,0.9091864,795.0506,0.1164064,42.79995
