//Locale: ko_KR
"//Settings: Settings(language: ko_KR, flipPerfect: false, showOnlyMainLanguage: false, scaleStepResponse: 100, scaleStepVisualize: 100, fontSize: 18, sliderHeight: 1.5, sliderWidth: 0.6, weightingType: WeightingType.none, enabledSubscales: {mental: true, physical: true, temporal: true, performance: true, effort: true, frustration: true})"
//Participant: P12
//Age: 
//Email: 
Name,Task,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,Mental DemandTALLY,Physical DemandTALLY,Temporal DemandTALLY,PerformanceTALLY,EffortTALLY,FrustrationTALLY
P12,X,60,80,67,30,87,31,0,0,0,0,0,0
P12,Y,93,93,92,77,84,100,0,0,0,0,0,0
P12,Z,89,57.99999999999999,75,43,79,57.99999999999999,0,0,0,0,0,0
